label,row,col,area
1,76.34266517357223,199.2239641657335,893
2,128.22603550295858,237.54792899408284,845
3,181.27913279132792,70.85704607046071,1476
4,161.7665615141956,372.1703470031546,317
5,175.78163771712158,334.1377171215881,806
6,195.01652892561984,282.92561983471074,726
7,204.55263157894737,376.64473684210526,76
8,202.66666666666666,393.0,9
9,222.89655172413794,210.57142857142858,203
10,230.0,214.0,1
11,257.1122913505311,319.2640364188164,659
12,259.3779264214047,246.56521739130434,299
13,265.29896907216494,404.32474226804123,194
14,269.75280898876406,451.7415730337079,178
15,264.0,231.0,1
16,316.50974930362116,324.94336118848656,1077
17,311.7391304347826,200.79710144927537,552
18,330.5623721881391,456.1165644171779,489
19,359.198738170347,165.55520504731862,317
20,365.45011600928075,394.44083526682135,431
21,374.2528147389969,307.1392016376663,977
22,378.75787728026535,491.257048092869,603
23,383.6,129.89649122807018,570
24,418.3487738419619,285.26430517711174,367
25,458.9198218262806,272.369710467706,449
26,475.4019607843137,383.60049019607845,408
