label,row,col,area
1,6.266666666666667,136.4,60
2,5.0,214.5,2
3,12.099462365591398,278.9489247311828,372
4,13.806315789473684,412.08210526315787,475
5,6.40625,459.765625,64
6,18.46794871794872,78.47435897435898,156
7,33.97475961538461,215.515625,832
8,39.318407960199,444.5497512437811,402
9,43.28372739916551,374.5994436717663,719
10,52.40754716981132,486.97169811320754,530
11,75.74971558589306,242.09442548350398,879
12,70.54652532391049,150.6572438162544,849
13,74.73949579831933,292.0703781512605,952
14,88.80495356037152,341.75232198142413,646
15,100.79882525697504,418.3928046989721,1362
16,123.78890097932535,492.86615886833516,919
17,117.27586206896552,240.62715517241378,464
18,127.40310077519379,137.45542635658916,516
19,131.2503457814661,361.0069156293223,723
20,131.2875,310.74642857142857,560
21,143.45008460236886,202.9746192893401,591
22,150.23636363636365,252.5090909090909,385
23,163.635477582846,347.2768031189084,513
24,165.32859399684045,164.05371248025276,633
25,158.31,503.02,100
26,172.83689024390245,420.7408536585366,656
27,177.8320251177394,31.312401883830454,637
28,181.9943181818182,70.76818181818182,880
29,198.2534090909091,258.2295454545455,880
30,189.98716119828816,311.3380884450785,701
31,215.79066022544282,215.81320450885667,621
32,224.4066496163683,138.90409207161125,782
33,215.7985347985348,485.8809523809524,546
34,217.85162601626016,426.1422764227642,492
35,229.64014466546112,378.66907775768533,553
36,237.93939393939394,334.2584670231729,561
37,252.3824485373781,85.11267605633803,923
38,246.9327868852459,452.9491803278689,610
39,260.92259083728277,410.7140600315956,633
40,262.92123287671234,16.58732876712329,584
41,267.7764390896921,178.29986613119144,747
42,264.1475409836066,504.40983606557376,61
43,277.48319327731093,255.65126050420167,238
44,291.10946196660484,283.100185528757,539
45,292.3542234332425,226.6158038147139,367
46,303.6708229426434,333.46882793017454,401
47,305.7248764415157,135.70840197693576,607
48,306.6601466992665,419.5574572127139,409
49,310.5473289597001,482.5857544517338,1067
50,318.10903426791276,179.34735202492212,642
51,323.12191780821917,380.86575342465756,730
52,329.71581769436995,97.83378016085791,373
53,349.0179310344828,273.7751724137931,725
54,347.61805555555554,68.13888888888889,432
55,345.10833333333335,240.3625,240
56,351.21673003802283,350.03041825095056,263
57,349.0,441.75,4
58,351.0,441.0,1
59,361.67934782608694,471.73369565217394,184
60,371.4748858447489,437.3013698630137,219
61,372.7174280879865,168.12521150592215,591
62,356.0,375.0,1
63,375.6740088105727,384.1696035242291,454
64,390.63990825688074,120.63302752293578,436
65,389.90909090909093,88.0,11
66,425.8393854748603,30.842178770949722,1432
67,394.43243243243245,247.75675675675674,37
68,400.15492957746477,467.943661971831,71
69,416.7551724137931,431.1965517241379,580
70,410.70661157024796,274.90495867768595,484
71,411.67505241090146,344.17610062893084,477
72,426.91184573002755,181.5082644628099,726
73,442.9626168224299,109.45560747663552,428
74,422.75,499.0,4
75,437.69794721407624,475.4398826979472,341
76,437.8217054263566,383.4767441860465,258
77,449.01623376623377,343.67857142857144,308
78,455.8609865470852,272.21076233183857,223
79,456.6463414634146,212.6184668989547,574
80,454.3679245283019,500.0990566037736,212
81,460.59272727272725,446.48727272727274,275
82,457.4280442804428,309.4059040590406,271
83,487.43939393939394,238.92760942760944,594
84,470.26237623762376,406.86633663366337,202
85,485.5485380116959,59.187134502923975,855
86,479.3380281690141,118.26760563380282,142
87,487.3,190.925,160
88,492.59558823529414,167.02941176470588,136
89,488.96923076923076,470.7025641025641,195
90,495.35867446393763,387.32553606237815,513
91,487.0,109.0,1
92,497.18805970149253,139.22388059701493,335
93,499.39,327.505,200
94,506.0,452.0,1
95,506.0,456.5,2
