Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
1,5808,893,1,6.503919372900336,0.847114959633874,0.0,0.9993223066985747,0.9999504803406952
2,5119,845,1,6.057988165680474,0.6408866799830213,0.0,0.9955715732692625,0.9998648526894315
7,3308,659,1,5.019726858877086,0.6171221001771716,0.0,0.566138413104957,1.0
8,4150,1077,1,3.8532961931290624,0.7923124918080748,0.0,0.7043435033865656,1.0
9,3458,552,1,6.2644927536231885,0.6537074597991044,0.0,0.9279216746428963,0.9876072449952336
13,4670,977,1,4.779938587512794,0.7592128117299396,0.0,0.6916358750419885,0.9960923623445825
15,3400,570,1,5.964912280701754,0.8243852599865994,0.0,0.9070854581981147,1.0
