Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
8,4010,842,1,4.762470308788599,0.8877462491467909,0.0,0.8265673064425285,1.0
9,5134,1022,1,5.02348336594912,0.532932797208789,0.0,0.9998227264669385,0.9935779478875313
10,3673,543,1,6.76427255985267,0.8658399584395688,0.0,0.88444359367024,1.0
14,4915,979,1,5.020429009193054,0.502037305736082,3.430778175e-312,0.9414147819347566,0.999321688994404
15,4281,504,1,8.494047619047619,0.7498289552263702,0.0,0.9960338338257315,0.9949698885530354
16,4614,839,1,5.499404052443385,0.7284213671715449,0.0,0.9197670125928052,0.9994475138121547
17,3293,481,1,6.846153846153846,0.8206433999032969,0.0,0.8516820287278342,1.0
20,4876,993,1,4.910372608257805,0.5739560229860701,0.0,0.9396243766137304,0.9995536212476286
21,4903,969,1,5.059855521155831,0.49566643368475316,2.0137822360364757e-302,0.8280363734581795,0.9994801143748375
23,4227,569,1,7.428822495606327,0.6718754093396198,0.0,0.9701000886861776,0.9981679909677694
25,3822,594,1,6.434343434343434,0.2966694545968166,1.644251007652085e-78,0.9897269856497581,0.998526974774443
