row,col
29.571167549789877,548.6342042755344
41.38108387987573,844.2140144977564
121.9136420525657,97.52190237797247
191.05664536037028,976.6117478510029
192.59321415541774,258.3265231667275
347.0239876499228,444.25697660610376
417.0146484375,43.904296875
455.95491003685237,823.9679167569911
480.9212702613298,934.4482302348661
542.5210857409133,497.63886300093196
557.7182770663562,73.9930151338766
570.2485089463221,640.6933399602385
599.7544970019986,841.064290473018
655.2675241157556,964.5472668810289
759.6154662891523,822.1668731198018
861.9364254298281,823.1639344262295
859.087542087542,974.3090909090909
928.430959752322,998.7863777089783
1009.2326732673267,968.8700495049505
