label,row,col,area
1,7.038461538461538,200.02884615384616,104
2,13.546153846153846,271.85128205128206,390
3,26.93371757925072,16.665706051873197,347
4,42.13461538461539,161.54840848806367,1508
5,46.85007496251874,255.18140929535232,667
6,59.968992248062015,310.5426356589147,129
7,92.27437325905292,19.637883008356546,718
8,92.43613707165109,496.6214953271028,642
9,100.09872029250457,78.59597806215722,547
10,117.22884012539186,408.3406478578892,957
11,162.70247933884298,225.3801652892562,363
12,162.52249134948096,492.38062283737025,289
13,178.23970432946146,302.42872228088703,947
14,180.9546218487395,69.02352941176471,595
15,194.72784810126583,150.4873417721519,790
16,213.4276595744681,256.6914893617021,470
17,227.2562225475842,423.79062957540265,683
18,243.80405405405406,501.1283783783784,296
19,254.859450726979,240.5557350565428,619
20,260.52364864864865,34.917792792792795,888
21,285.4693685202639,171.42412818096136,1061
22,306.5328947368421,446.35996240601503,1064
23,304.1855855855856,319.8252252252252,555
24,325.0741839762611,68.30860534124629,674
25,339.3877245508982,347.4715568862275,668
26,349.6216216216216,233.72178060413356,629
27,366.0889370932755,160.05422993492408,461
28,382.9418604651163,412.5778175313059,1118
29,371.36138613861385,57.06435643564357,404
30,394.87827715355803,496.01310861423224,534
31,388.16766467065867,311.311377245509,334
32,410.57839721254356,268.4541231126597,861
33,418.1328244274809,205.34351145038167,655
34,426.28589263420724,97.54057428214732,801
35,435.85526315789474,9.144736842105264,152
36,443.2023668639053,426.8792899408284,845
37,471.96881091617934,304.0448343079922,513
38,500.08673469387753,87.03061224489795,196
39,504.5925925925926,50.18518518518518,27
