row,col
29.937046004842614,418.5859564164649
53.90425531914894,222.80395136778117
60.5224043715847,307.5989071038251
76.19471153846153,389.0204326923077
82.2390350877193,473.3048245614035
87.05591397849463,61.57419354838709
111.83314285714286,309.96
132.04901960784315,104.71691176470588
126.13028169014085,483.59859154929575
139.16117542297417,219.60017809439003
170.02046511627907,174.47627906976743
188.1232166018158,321.26329442282747
194.50473186119874,59.40378548895899
199.3218045112782,492.17894736842106
224.09763033175355,261.48056872037915
251.89983579638752,453.9704433497537
257.12824675324674,356.49675324675326
271.81030927835053,296.58762886597935
280.3014705882353,207.9950980392157
283.726723095526,29.40628778718259
296.92550143266476,114.44985673352436
302.1758499413834,414.05509964830014
314.3418940609952,359.14606741573033
354.463768115942,279.8010540184453
367.11390728476823,226.92582781456954
366.61577181208054,366.998322147651
385.3911439114391,443.1512915129151
401.096875,291.628125
414.48922413793105,221.54741379310346
432.8944365192582,397.0970042796006
460.94117647058823,487.5142314990512
491.68725099601596,368.16533864541833
