row,col
12.171764705882353,343.0635294117647
41.47711670480549,451.76887871853546
35.64958677685951,389.7603305785124
83.98192771084338,22.694779116465863
115.5075,251.426875
110.7568493150685,497.2174657534247
154.21627565982405,197.15029325513197
157.34139784946237,489.69354838709677
153.01812688821752,427.4501510574018
164.31337767923134,113.39320029563932
166.3112919633774,331.8962360122075
179.80709534368071,449.0221729490022
216.36953455571228,327.7179125528914
228.5586297760211,463.1501976284585
242.8391557496361,164.10262008733625
246.70957613814755,406.6169544740973
266.7577639751553,501.14596273291926
278.5461883408072,268.70941704035874
281.9949152542373,348.35084745762714
302.746359223301,439.9296116504854
310.9553635709143,52.368610511159105
330.7467248908297,96.78529839883552
325.6620825147348,489.1237721021611
341.7265221878225,356.4643962848297
334.65,207.546
366.20277296360484,464.82842287694973
367.84703196347033,273.4634703196347
375.3606237816764,407.18908382066274
392.31009365244535,314.17273673257023
415.10965630114566,470.8003273322422
411.14405360134003,191.69346733668343
436.8752052545156,380.92282430213464
450.60589604344455,254.71295577967416
455.8131416837782,439.63039014373715
475.10281690140846,193.6394366197183
481.42088607594934,92.87658227848101
486.3454545454546,365.5739130434783
478.20255863539444,477.71215351812367
485.47980997624705,150.78859857482186
494.1657559198543,304.3551912568306
