label,row,col,area
1,5.88,76.36,25
2,5.848484848484849,95.45454545454545,33
3,53.86741016109046,219.0731102850062,807
4,39.51456310679612,503.56310679611653,103
5,48.83151326053042,162.9219968798752,641
6,51.52265372168285,58.55987055016181,618
7,66.01134215500946,406.0226843100189,529
8,86.1006711409396,470.08948545861296,447
9,96.60877513711152,54.71846435100549,547
10,118.21611374407583,199.69289099526065,1055
11,112.37884872824633,432.74029451137886,747
12,118.3814317673378,280.82774049217,894
13,125.94675186368477,348.06389776357827,939
14,130.18930635838151,128.76734104046244,692
15,182.3968636911942,373.1954161640531,829
16,183.26931330472104,489.9796137339056,932
17,184.27493917274938,60.771289537712896,411
18,210.85661080074487,256.5893854748603,1074
19,219.44767441860466,124.88081395348837,344
20,227.99661016949153,41.98135593220339,590
21,258.31195652173915,380.1663043478261,920
22,270.42857142857144,48.49878934624697,413
23,289.3832644628099,308.9638429752066,968
24,277.84776902887137,140.8477690288714,381
25,288.5296671490593,210.2547033285094,691
26,314.40225988700564,438.96045197740114,885
27,324.3946117274168,358.7068145800317,631
28,356.79350348027845,383.3619489559165,431
29,356.1572052401747,116.51528384279476,229
30,360.7345132743363,167.2566371681416,113
31,387.93116634799236,274.65774378585087,523
32,390.9136363636364,435.76272727272726,1100
33,380.32535885167465,10.564593301435407,209
34,419.7592356687898,223.27770700636944,785
35,423.06649616368287,139.4833759590793,782
36,474.3327495621716,303.14360770577935,571
37,483.4443141852286,395.37631887456035,853
38,494.58347386172005,29.819561551433388,593
