Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
4,3715,1411,1,2.632884479092842,0.5310596254427444,1.816862049022891e-269,0.8727790916257353,0.9977682129762474
5,3471,784,1,4.427295918367347,0.16022059826399182,2.1510697141439236e-21,0.7040216711814962,0.9992317541613316
7,3007,606,1,4.962046204620462,0.5709342786517518,1.001280707114631e-259,0.8753203485392107,0.9996233521657251
8,5992,759,1,7.894598155467721,0.45182869933565806,2.232590585808749e-299,0.8934126876775328,0.999677575366758
15,3904,863,1,4.5237543453070685,0.04291765426830294,0.007319271010549323,0.8951798010711554,0.9996082528075215
17,3927,600,1,6.545,0.25633744540759373,5.834122452751279e-60,0.8990806734841442,1.0
18,4322,705,1,6.130496453900709,0.2185076281886434,7.066352640479403e-48,0.9420809385554305,1.0
19,3285,718,1,4.575208913649025,0.06205843659088178,0.0003723387631560785,0.9206502353594714,1.0
22,5128,747,1,6.86479250334672,0.29698059966577484,6.2973020960385966e-105,0.9292519593552612,0.999858075503832
24,4373,574,1,7.618466898954704,0.26719180904025597,2.2481438930847986e-72,0.9601996550462552,1.0
25,3662,981,1,3.7329255861365955,0.1694932488536473,5.2591822566339285e-25,0.9650169314925762,1.0
26,5295,821,1,6.449451887941534,0.1922696481683202,2.881801946970065e-45,0.9572185401103894,0.9994605529332434
28,3921,670,1,5.852238805970149,0.010367084534381336,0.516354274722296,0.9771544179491259,1.0
30,3634,625,1,5.8144,0.03655311576302088,0.027559696305988677,0.9583079973562458,1.0
32,5480,1102,1,4.972776769509982,0.39851400060429354,5.150741935147197e-208,0.9580283592167455,0.9996857717445953
33,6572,773,1,8.501940491591203,0.15027679006546357,1.681519087010817e-34,0.9584044195304249,1.0
34,5222,605,1,8.631404958677686,0.09862403050116997,9.15680924315246e-13,0.956544512411845,0.9998496692723993
36,3510,775,1,4.529032258064516,0.38157777170355367,4.780406143831155e-122,0.9571872327015711,1.0
41,4615,849,1,5.435806831566549,0.12937161246834106,1.1101072288408979e-18,0.9303648349556153,0.9998778849676395
43,5018,780,1,6.433333333333334,0.3505648668264165,4.773466987434971e-145,0.9637604874469646,1.0
45,5088,1159,1,4.389991371872304,0.3047703789972203,7.9304876726512e-110,0.956322452345152,1.0
51,3666,654,1,5.605504587155964,0.3306626282782811,2.9775974775077444e-94,0.9331331438683039,0.9998303934871099
52,3917,832,1,4.7079326923076925,0.14213997149921132,3.9433665791512105e-19,0.9518480524728776,1.0
