Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
1,6567,916,1,7.169213973799127,0.7320860753023212,0.0,0.995792338940085,1.0
2,7326,1518,1,4.826086956521739,0.6392117514472238,0.0,0.5926189953937266,1.0
3,5355,874,1,6.127002288329519,0.7442396987277122,0.0,0.7942363331810568,0.9980645161290322
4,6658,781,1,8.524967989756723,0.7803357240244456,0.0,0.9990095741168703,0.9972643555065449
5,8215,1226,1,6.700652528548124,0.5292657367442517,0.0,0.46979806329711854,0.9988805970149254
8,5985,1200,1,4.9875,0.6044977915804559,0.0,0.5168555307951259,1.0
11,6332,926,1,6.838012958963283,0.5183365050965911,0.0,0.8695306649549921,1.0
12,4645,650,1,7.1461538461538465,0.686301683845054,0.0,0.6585476688175952,1.0
