Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
3,3073,618,1,4.972491909385114,0.7055648424864627,0.0,0.9564534551684751,0.9978829578103735
4,3811,529,1,7.2041587901701325,0.8198194300975523,0.0,0.964452912357104,0.9977493606138107
6,3301,547,1,6.03473491773309,0.8597797473053815,0.0,0.9131813125695217,0.9995244134432467
7,5982,1055,1,5.670142180094786,0.5655160455199647,0.0,0.9984256926952141,0.9738634789168219
8,3428,747,1,4.589022757697457,0.6719249515224044,0.0,0.9585353003161222,0.9990190067443286
9,4309,894,1,4.819910514541387,0.6550965868259773,0.0,0.9909889947558904,0.9895230072654523
10,5377,939,1,5.726304579339723,0.7099483975734363,0.0,0.987434858135495,0.9846449136276392
11,3926,692,1,5.673410404624278,0.8330844073935162,0.0,0.9969049641946838,0.9864310435719361
12,4007,829,1,4.833534378769602,0.7868251909246289,0.0,0.9705481994802624,0.997468982630273
15,4938,1074,1,4.597765363128492,0.7482071460858642,0.0,0.8112708563735154,0.9997828918801563
17,3196,590,1,5.416949152542373,0.7753251207617718,0.0,0.9703947368421053,0.9907206928549335
18,5000,920,1,5.434782608695652,0.8066510491517089,0.0,0.8248102772679926,0.9998151912770282
20,5645,968,1,5.831611570247934,0.8921124704451906,0.0,0.8735136886440953,1.0
22,3679,691,1,5.324167872648336,0.803250207471116,0.0,0.7757045524930319,0.9996131528046421
23,4445,885,1,5.022598870056497,0.7364628559626132,0.0,0.78777971929429,0.9990224828934506
24,3421,631,1,5.421553090332805,0.7991022690596665,0.0,0.9852420903669261,0.9985967053081147
26,3706,523,1,7.08604206500956,0.8200499307809062,0.0,0.9744421551006094,0.9998338318378198
27,5515,1100,1,5.013636363636364,0.8386918781212365,0.0,0.9542585979159532,0.9972834771492489
28,4660,785,1,5.936305732484076,0.8536240742261842,0.0,0.9799864731923266,0.9995695530525863
30,3916,571,1,6.858143607705779,0.8539789852031846,0.0,0.9964637146371463,0.99852587244284
