Cell_ID,Centroid_X,Centroid_Y,Area_px,Perimeter_px,Circularity
1,70,37,292,132.47,0.209
2,27,28,3211,382.35,0.276
3,886,41,1933,329.95,0.223
4,19,104,226,101.5,0.276
5,243,178,2534,366.09,0.238
6,70,211,13792,1105.3,0.142
7,623,225,157,55.7,0.636
8,566,270,2702,521.77,0.125
9,516,294,222,77.84,0.46
10,749,295,109,48.28,0.588
11,511,320,236,89.01,0.374
12,612,359,859,309.56,0.113
13,586,341,171,80.18,0.334
14,714,351,5338,1009.12,0.066
15,480,371,4361,819.09,0.082
16,303,393,401,136.23,0.272
17,663,410,4712,820.81,0.088
18,586,411,399,136.23,0.27
19,367,421,118,58.28,0.437
20,268,442,5039,645.07,0.152
21,474,436,2454,406.82,0.186
22,819,456,1789,489.49,0.094
23,750,461,6628,975.56,0.088
24,340,484,208,77.01,0.441
25,754,546,2812,645.13,0.085
26,860,543,4134,679.65,0.112
27,526,546,4360,689.8,0.115
28,925,555,279,97.5,0.369
29,388,555,112,41.21,0.829
30,675,580,381,159.44,0.188
31,343,608,4849,805.09,0.094
32,760,601,1751,469.93,0.1
33,106,624,3281,455.0,0.199
34,624,611,2586,427.69,0.178
35,425,625,909,298.88,0.128
36,731,640,344,117.98,0.311
37,876,684,412,137.05,0.276
38,526,705,511,175.68,0.208
39,794,698,4106,862.65,0.069
40,506,747,680,234.45,0.155
41,178,734,3743,594.54,0.133
42,384,738,1927,348.09,0.2
43,826,746,400,118.57,0.358
44,593,737,241,70.87,0.603
45,496,774,211,73.94,0.485
46,748,789,306,133.74,0.215
47,823,787,1993,521.39,0.092
48,658,816,460,114.57,0.44
49,692,819,495,151.88,0.27
50,396,834,627,184.41,0.232
51,757,869,169,90.33,0.26
52,405,867,1526,308.29,0.202
53,618,879,300,121.98,0.253
54,735,904,189,70.53,0.477
