label,row,col,area
1,13.630824372759857,291.6272401433692,279
2,12.171764705882353,343.0635294117647,425
3,41.47711670480549,451.76887871853546,874
4,35.64958677685951,389.7603305785124,605
5,83.98192771084338,22.694779116465863,498
6,89.77551020408163,358.64285714285717,294
7,115.5075,251.426875,1600
8,110.7568493150685,497.2174657534247,584
9,154.21627565982405,197.15029325513197,1364
10,157.34139784946237,489.69354838709677,744
11,153.01812688821752,427.4501510574018,331
12,164.31337767923134,113.39320029563932,1353
13,166.3112919633774,331.8962360122075,983
14,179.80709534368071,449.0221729490022,451
15,216.36953455571228,327.7179125528914,709
16,228.5586297760211,463.1501976284585,759
17,221.24,502.92,75
18,242.8391557496361,164.10262008733625,1374
19,246.70957613814755,406.6169544740973,637
20,266.7577639751553,501.14596273291926,322
21,278.5461883408072,268.70941704035874,1115
22,281.9949152542373,348.35084745762714,1180
23,302.746359223301,439.9296116504854,824
24,310.9553635709143,52.368610511159105,1389
25,330.7467248908297,96.78529839883552,1374
26,325.6620825147348,489.1237721021611,509
27,341.7265221878225,356.4643962848297,969
28,334.65,207.546,500
29,366.20277296360484,464.82842287694973,577
30,367.84703196347033,273.4634703196347,438
31,362.2916666666667,503.1388888888889,72
32,375.3606237816764,407.18908382066274,513
33,392.31009365244535,314.17273673257023,961
34,415.10965630114566,470.8003273322422,611
35,411.14405360134003,191.69346733668343,597
36,436.8752052545156,380.92282430213464,609
37,450.60589604344455,254.71295577967416,1289
38,455.8131416837782,439.63039014373715,487
39,475.10281690140846,193.6394366197183,710
40,481.42088607594934,92.87658227848101,316
41,486.3454545454546,365.5739130434783,1265
42,478.20255863539444,477.71215351812367,469
43,485.47980997624705,150.78859857482186,421
44,494.1657559198543,304.3551912568306,549
