Cell_ID,Centroid_X,Centroid_Y,Area_px,Perimeter_px,Circularity
1,935,10,1422,174.33,0.588
2,836,38,4919,275.72,0.813
3,19,189,1440,204.02,0.435
4,195,200,5034,281.71,0.797
5,250,243,3311,230.79,0.781
6,582,246,3569,232.07,0.833
7,15,248,1893,194.57,0.628
8,698,307,4064,259.52,0.758
9,497,332,2802,198.85,0.89
10,582,342,3432,226.89,0.838
11,650,369,111,38.38,0.947
12,436,440,3304,225.38,0.817
13,786,441,4164,257.97,0.786
14,628,441,4672,265.91,0.83
15,322,460,5842,317.46,0.728
16,266,498,1629,184.51,0.601
17,570,520,4679,290.15,0.698
18,893,547,1989,176.17,0.805
19,95,569,6788,360.05,0.658
20,386,581,4910,271.56,0.837
21,765,592,7358,390.53,0.606
22,647,645,3125,258.21,0.589
23,657,683,2533,240.99,0.548
24,838,709,2058,181.34,0.786
25,397,712,3370,264.21,0.607
26,548,752,4370,275.42,0.724
27,789,747,5402,306.25,0.724
28,218,756,5025,342.68,0.538
29,576,807,2687,212.07,0.751
30,451,847,2319,221.72,0.593
31,378,856,1590,204.37,0.478
32,717,859,1913,187.78,0.682
33,671,847,5203,314.94,0.659
