Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
1,4052,786,1,5.155216284987278,0.36755733667299006,7.758004818516988e-130,0.9449256933958515,0.9969988943294898
2,6103,604,1,10.10430463576159,0.44971103015229963,1.0406620870952566e-301,1.0,0.9631237115000078
3,3403,618,1,5.506472491909385,0.7497983840444898,0.0,0.9977835241965275,0.9990975340116869
4,3932,626,1,6.281150159744409,0.36786172358231883,2.864168720518585e-126,0.9996516690856313,0.9975680226153111
5,3970,1046,1,3.795411089866157,0.07628505754297517,1.4938001210760959e-06,0.9781084212451979,0.9984727443609023
