Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
8,4386,849,1,5.166077738515901,0.6106196842843686,0.0,0.4889762535066577,1.0
9,4578,952,1,4.8088235294117645,0.42424962595290594,1.8389299218078268e-199,0.2577189347617363,1.0
13,3059,464,1,6.592672413793103,0.8975681220005028,0.0,0.9802005301371441,1.0
14,4051,516,1,7.85077519379845,0.7021203341979685,0.0,0.7380828178950245,1.0
15,3393,723,1,4.6929460580912865,0.7022095237198227,0.0,0.8931860936698346,1.0
17,3430,591,1,5.803722504230119,0.6623021855703135,0.0,0.9277750450893589,1.0
20,3182,633,1,5.026856240126382,0.7308759590069233,0.0,0.7840463189089811,1.0
23,4414,880,1,5.015909090909091,0.44985317270210423,6.349725424903379e-219,0.2382494574064026,1.0
24,5336,880,1,6.0636363636363635,0.3585749155552017,1.189663973478077e-161,0.3125313457250218,1.0
27,3731,782,1,4.771099744245524,0.6619612222047468,0.0,0.4597729928225672,1.0
29,4387,492,1,8.916666666666666,0.4884897863968066,6.311463327581208e-262,0.9023839796567069,0.9999538681551875
32,4989,923,1,5.405200433369448,0.45050799352059323,5.534635229598154e-248,0.21933626708136186,1.0
34,3074,633,1,4.856240126382306,0.7525416114529755,0.0,0.9747111681643132,0.9999521508206134
36,3540,747,1,4.738955823293173,0.4418173085338827,4.3790427519203423e-169,0.9223189081397457,1.0
40,3430,607,1,5.650741350906095,0.34205312076379757,9.45595785885208e-95,0.8775076162556763,1.0
43,3678,642,1,5.728971962616822,0.3598184396569125,7.682462180754483e-113,0.11263089851325145,1.0
44,3614,730,1,4.950684931506849,0.6024587802880019,0.0,0.6834017835438018,1.0
48,4115,591,1,6.962774957698816,0.7789189730743779,0.0,0.6716919004422636,1.0
55,3654,726,1,5.033057851239669,0.6170062040952431,0.0,0.4379991164576749,1.0
