label,row,col,area
1,29.571167549789877,548.6342042755344,5473
2,41.38108387987573,844.2140144977564,2897
3,41.0,591.0,1
4,42.0,592.0,1
5,43.0,593.0,1
6,44.0,594.0,1
7,45.0,595.0,1
8,121.9136420525657,97.52190237797247,3995
9,191.05664536037028,976.6117478510029,9074
10,192.59321415541774,258.3265231667275,5482
11,199.3125,914.5,16
12,347.0239876499228,444.25697660610376,8421
13,417.0146484375,43.904296875,2048
14,455.95491003685237,823.9679167569911,4613
15,480.9212702613298,934.4482302348661,3023
16,509.09929078014187,1014.7304964539007,282
17,542.5210857409133,497.63886300093196,8584
18,557.7182770663562,73.9930151338766,859
19,570.2485089463221,640.6933399602385,2012
20,599.7544970019986,841.064290473018,3002
21,588.0,484.0,1
22,589.0,485.0,1
23,655.2675241157556,964.5472668810289,1555
24,709.1103603603603,1014.0563063063063,444
25,697.6964285714286,785.5,56
26,703.0,783.0,1
27,759.6154662891523,822.1668731198018,5651
28,704.0,782.0,1
29,705.0,781.0,1
30,706.0,780.0,1
31,713.6666666666666,788.6666666666666,3
32,715.0,786.0,1
33,861.9364254298281,823.1639344262295,2501
34,859.087542087542,974.3090909090909,1485
35,848.0,954.0,1
36,849.0,955.0,1
37,928.430959752322,998.7863777089783,1615
38,1009.2326732673267,968.8700495049505,808
39,1016.340206185567,891.2577319587629,97
40,1018.0,876.5,2
