Cell_ID,Centroid_X,Centroid_Y,Area_px
1,70,37,292
2,27,28,3211
3,886,41,1933
4,19,104,226
5,111,116,86
6,243,178,2534
7,70,211,13792
8,623,225,157
9,590,229,80
10,169,236,91
11,664,275,89
12,566,270,2702
13,516,294,222
14,749,295,109
15,511,320,236
16,612,359,859
17,586,341,171
18,714,351,5338
19,480,371,4361
20,358,388,83
21,303,393,401
22,663,410,4712
23,586,411,399
24,367,421,118
25,268,442,5039
26,474,436,2454
27,819,456,1789
28,750,461,6628
29,200,460,85
30,340,484,208
31,670,496,85
32,754,546,2812
33,860,543,4134
34,526,546,4360
35,925,555,279
36,388,555,112
37,675,580,381
38,486,592,87
39,343,608,4849
40,760,601,1751
41,106,624,3281
42,624,611,2586
43,425,625,909
44,731,640,344
45,876,684,412
46,526,705,511
47,794,698,4106
48,506,747,680
49,178,734,3743
50,384,738,1927
51,826,746,400
52,593,737,241
53,496,774,211
54,748,789,306
55,823,787,1993
56,658,816,460
57,692,819,495
58,396,834,627
59,473,853,83
60,757,869,169
61,405,867,1526
62,618,879,300
63,735,904,189
