row,col
71.70087336244542,346.26091703056767
144.2826086956522,224.22990777338603
150.2654462242563,146.6945080091533
252.61203585147248,92.89756722151088
272.8254486133768,222.1500815660685
284.37894736842105,489.70105263157893
281.59753593429156,399.8110882956879
321.2608333333333,283.905
349.9864864864865,454.36486486486484
373.7165775401069,381.37611408199643
395.03347732181425,216.87904967602591
410.7046153846154,268.71846153846155
496.4117647058824,305.1764705882353
497.5750394944708,215.03317535545023
