Region Label,Cell Area,Nucleus Area,Nuclei In Cell,Cell/Nucleus Ratio,Pearson Correlation,P-value,M1 Coefficient,M2 Coefficient
7,9678,1364,1,7.095307917888563,0.5130529403735284,0.0,0.8907036581273073,0.9833137682374644
10,9245,1353,1,6.832963784183296,0.44599063628999125,0.0,0.9000509294626942,0.9809246979743846
13,3523,709,1,4.968970380818053,0.4316986041444645,6.389177391541985e-160,0.8881353783749525,0.9959514170040485
14,3002,759,1,3.9552042160737813,0.3938740114991723,5.58265694680416e-112,0.9234793005529817,0.9915147705845381
15,9570,1374,1,6.965065502183406,0.6035658992837211,0.0,0.8322073035149234,0.9763446215139442
16,3248,637,1,5.0989010989010985,0.43217636321670344,6.036293855318522e-148,0.8931190282201319,0.9944272445820433
18,9529,1115,1,8.546188340807175,0.4675405521107664,0.0,0.863997277676951,0.9839816933638444
19,5983,1180,1,5.070338983050847,0.437476312291826,2.9734864521195545e-278,0.893537615399725,0.9921478060046189
20,5534,824,1,6.716019417475728,0.44121370943208765,2.0414649240128938e-262,0.8744163356331451,0.9904842820730672
22,4775,1374,1,3.475254730713246,0.5488959334085135,0.0,0.8432489266625778,0.9751619870410367
24,5575,969,1,5.753353973168215,0.4320014108688295,2.618758351316263e-252,0.8473588086541163,0.9866063663245782
29,4377,961,1,4.554630593132154,0.5184256002575013,9.793978722224171e-300,0.8196818496196028,0.9808695652173913
32,3482,609,1,5.717569786535304,0.43472975655462387,1.5776347120190897e-160,0.7829935021286131,0.9776925758103869
